詳細,発句（俳句）,読み,季題１,出典
1,元日やさらに旅宿とおもほへず,がんじつや　さらにりょしゅくと　おもおえず,1新年,西国紀行
2,橙やいつも律義に三ツの朝,だいだいや　いつもりちぎに　みつのあさ,1新年,玉の春
3,元日にかわいや遍路門に立,がんじつに　かわいやへんろ　かどにたつ,1新年,西紀書込
4,元日の寝聳る程は曇る也,がんじつの　ねそべるほどは　くもるなり,1新年,文化句帖
5,元日も爰らは江戸の田舎哉,がんじつも　ここらはえどの　いなかかな,1新年,文化句帖
6,さりながら道の悪るさよ日の始,さりながら　みちのわるさよ　ひのはじめ,1新年,文化句帖
7,礎や元日しまの巣なし鳥,いしずえや　がんじつしまの　すなしどり,1新年,文化三―八写
8,元日や我のみならぬ巣なし鳥,がんじつや　われのみならぬ　すなしどり,1新年,文化五六句記
9,家なしも江戸の元日したりけり,いえなしも　えどのがんじつ　したりけり　,1新年,七番日記
10,牛馬も元日顔の山家哉,うしうまも　がんじつがおの　やまがかな,1新年,書簡
11,古郷や馬も元日いたす顔,ふるさとや　うまもがんじつ　いたすかお,1新年,七番日記
12,例の通(り)梅の元日いたしけり,れいのとおり　うめのがんじつ　いたしけり,1新年,七番日記
13,あれ小雪さあ元日ぞ～,あれこゆき　さあがんじつぞ　がんじつぞ,1新年,七番日記
14,かれらにも元日させん鳩すゞめ,かれらにも　がんじつさせん　はとすずめ,1新年,七番日記
15,元日をするや揃ふ(て)小田の雁,がんじつを　するやそろうて　おだのかり,1新年,七番日記
16,小菜畠元日さへをしたりけり,おなばたけ　がんじつさえを　したりけり,1新年,七番日記
17,ぬく～と元日するや寺の縁,ぬくぬくと　がんじつするや　てらのえん,1新年,七番日記
18,鑓にやり大元日の通り哉,やりにやり　だいがんじつの　とおりかな,1新年,七番日記
19,我門は昼過からが元日ぞ,わがかどは　ひるすぎからが　がんじつぞ,1新年,七番日記
20,我庵は昼過からが元日ぞ,わがいおは　ひるすぎからが　がんじつぞ,1新年,七番日記
21,元日も立のまゝなる屑家哉,がんじつも　たつのままなる　くずやかな,1新年,八番日記
22,元日も立のまんまの屑家哉,がんじつも　たつのまんまの　くずやかな,1新年,浅黄空他
23,元日も別条のなき屑屋哉,がんじつも　べつじょうのなき　くづやかな,1新年,八番日記
24,元日やどちら向ても花の娑婆,がんじつや　どちらむいても　はなのしゃば,1新年,八番日記
25,元日や日本ばかりの花の娑婆,がんじつや　ひのもとばかりの　はなのしゃば,1新年,八番日記
26,元日や日本ばかり花の娑婆,がんじつや　ひのもとばかり　はなのしゃば,1新年,梅塵八番
27,元日や我等ぐるめに花の娑婆,がんじつや　われらぐるめに　はなのしゃば,1新年,発句鈔追加他
28,元日に曲眠りする美人哉,がんじつに　きょくねむりする　びじんかな,1新年,文政句帖
29,元日や目出度尽し旅の宿,がんじつや　めでたいづくし　たびのやど,1新年,文政句帖
30,元日ハむりニ目出度旅寝哉,がんじつは　むりにめでたい　だびねかな,1新年,文政七草稿
31,世の中をゆり直すらん日の始,よのなかを　ゆりなおすらん　ひのはじめ,1新年,文政句帖
32,元日や庵の玄関の仕拵へ,がんじつや　いおのげんかんの　しごしらえ,1新年,文政句帖
33,元日や闇いうちから猫の恋,がんじつや　くらいうちから　ねこのこい,1新年,文政句帖
34,元朝に十念仏のゆきゝ哉,がんちょうに　じゅうねんぶつの　ゆききかな,1新年,文政句帖
35,苦にやんだ元日するや人並に,くにやんだ　がんじつするや　ひとなみに,1新年,文政句帖
36,苦にやんだ元日すむや人並に,くにやんだ　がんじつすむや　ひとなみに,1新年,発句鈔追加
37,元日の日向ぼこする屑屋かな,がんじつに　ひなたぼこする　くづやかな,1新年,発句鈔追加
38,元日や上々吉の浅黄空,がんじつや　じょうじょうきちの　あさぎぞら,1新年,浅黄空
39,昼頃に元日になる庵かな,ひるごろに　がんじつになる　いおりかな,1新年,発句鈔追加
40,年立や日の出を前の舟の松,としたつや　ひのでをまえの　ふねのまつ,1新年,文化句帖
41,あら玉のとし立かへる虱哉,あらたまの　としたちかえる　しらみかな,1新年,文化句帖
42,あら玉の春早々の悪日哉,あらたまの　はるはやばやの　あくびかな,1新年,八番日記
43,年立や雨おちの石凹む迄,としたつや　あまおちのいし　へこむまで,1新年,文政句帖
44,新宅や雨おちの石凹む迄,しんたくや　あまおちのいし　へこむまで,1新年,あつくさ
45,年立やもとの愚が又愚にかへる,としたつや　もとのぐがまた　ぐにかえる,1新年,文政句帖
46,あら玉や江戸はへぬきの男松,あらたまや　えどはえぬきの　おとこまつ,1新年,文政句帖
47,梅さくや先あら玉の御制札,うめさくや　まずあらたまの　ごせいさつ,1新年,文政句帖
48,又ことし娑婆塞ぞよ草の家,またことし　しゃばふさげぞよ　くさのいえ,1新年,文化句帖
49,又ことし娑婆塞なり草の庵,またことし　しゃばふさぐなり　くさのいお,1新年,発句鈔追加
50,又ことし娑婆塞なる此身哉,またことし　しゃばふさぎなる　このみかな,1新年,七番日記
51,又ことし娑婆塞なる茶の煙り,またことし　しゃばふさぎなる　ちゃのけむり,1新年,発句鈔追加
52,神～゛やことしも頼む子二人,かみがみや　ことしもたのむ　こふたり,1新年,七番日記
53,ことしから丸もふけ也娑婆の空,ことしから　まるもうけなり　しゃばのそら,1新年,梅塵八番
54,ことしから手左り笠(に)小風呂敷,ことしから　てひだりがさに　こぶろしき,1新年,八番日記
55,ことしから丸儲ぞよ娑婆遊び,ことしから　まるもうけぞよ　しゃばあそび,1新年,八番日記
56,これからが丸儲ぞよ娑婆遊び,これからが　まるもうけぞよ　しゃばあそび,1新年,発句鈔追加
57,ことしからまふけ遊びぞ花の娑婆,ことしから　もうけあそびぞ　はなのしゃば,1新年,八番日記
58,ことしからまふけ遊びぞ日和笠,ことしから　もうけあそびぞ　ひよりがさ,1新年,浅黄空他
59,正月の子供に成て見たき哉,しょうがつの　こどもになりて　みたきかな,1新年,西紀書込
60,正月やよ所に咲ても梅の花,しょうがつや　よそにさいても　うめのはな,1新年,文化句帖
61,正月のけしきになるや泥に雪,しょうがつの　　けしきになるや　どろにゆき,1新年,文化句帖
62,鳥なくや野老畳もお正月,とりなくや　やろうたたみも　おしょうがつ,1新年,文化句帖
63,長閑しや梅はなく(と)もお正月,のどけしや　うめはなくとも　おしょうがつ,1新年,文化句帖
64,亀の身の正月も立日也けり,かめのみの　しょうがつも　たつひなりけり,1新年,文化句帖
65,正月(や)猫の塚にも梅の花,しょうがつや　ねこのつかにも　うめのはな,1新年,文化句帖
66,正月や村の小すみの梅の花,しょうがつや　むらのこすみの　うめのはな,1新年,文化五六句記
67,古羽織長の正月も過にけり,ふるばおり　ちょうのしょうがつも　すぎにけり,1新年,文化句帖
68,正月がへる夜～の霞かな,しょうがつが　へるよへるよの　かすみかな,1新年,古今綾嚢
69,正月は迹の祭や春の風,しょうがつは　あとのまつりや　はるのかぜ,1新年,文化五六句記
70,正月の町にするとや雪がふる,しょうがつの　まちにするとや　ゆきがふる,1新年,七番日記
71,正月や外はか程の御月夜,しょうがつは　そとはかほどの　おんつきよ,1新年,七番日記
72,正月や奴に髭のなささうに,しょうがつや　やっこにひげの　なさそうに,1新年,七番日記
73,正月も廿日過けりはをり客,しょうがつも　はつかすぎけり　はおりきゃく,1新年,七番日記
74,正月や梅のかはりの大吹雪,しょうがつや　うめのかわりの　おおふぶき,1新年,七番日記
75,よ所並の正月もせぬしだら哉,よそなみの　しょうがつもせぬ　しだらかな,1新年,七番日記
76,人並の正月もせぬしだら哉,ひとなみの　しょうがつもせぬ　しだらかな,1新年,志多良他
77,君が代の正月もせぬしだら哉,きみがよの　しょうがつもせぬ　しだらかな,1新年,句稿消息
78,正月や辻の仏も赤頭巾,しょうがつや　つじのほとけも　あかずきん,1新年,七番日記
79,正月やゑたの玄関も梅の花,しょうがつや　えたのげんかんも　うめのはな,1新年,七番日記
80,正月や夜は夜とて梅の月,しょうがつや　よるはよるとて　うめのつき,1新年,七番日記
81,正月や夜は夜とて梅の花,しょうがつや　よるはよるとて　うめのはな,1新年,発句鈔追加
82,正月や貸下駄並ぶ日陰坂,しょうがつや　かしげたならぶ　ひかげざか,1新年,八番日記
83,北国や家に雪なきお正月,きたぐにや　いえにゆきなき　おしょうがつ,1新年,八番日記
84,たのもしや家に雪なきお正月,たのもしや　いえにゆきなき　おしょうがつ,1新年,八番日記
85,初雨や北国本のお正月,はつさめや　きたぐにほんの　おしょうがつ,1新年,八番日記
86,道ばたの土めづらしやお正月,みちばたの　つちめづらしや　おしょうがつ,1新年,八番日記
87,正月が二ツありとや浮寝鳥,しょうがつが　ふたつありとや　うきねどり,1新年,八番日記
88,正月の二ツありとや浮寝鳥,しょうがつの　ふたつありとや　うきねどり,1新年,自筆本他
89,正月が二つあるとや浮寝鳥,しょうがつが　ふたつあるとや　うきねどり,1新年,書簡
90,正月の二ツもなまけ始かな,しょうがつの　ふたつもなまけ　はじめかな,1新年,八番日記
91,正月の二ツはなまけ始かな,しょうがつの　ふたつはなまけ　はじめかな,1新年,浅黄空他
92,後のゝは正月ぞともいはぬ也,あとののは　しょうがつぞとも　いわぬなり,1新年,文政句帖
93,正月も二ツは人のあきる也,しょうがつも　ふたつはひとの　あきるなり,1新年,文政句帖
94,二ツあれば又三ツほしやお正月,ふたつあれば　またみっつほしや　おしょうがつ,1新年,文政句帖
95,二ツでもつかひではなしお正月,ふたつでも　つかいではなし　おしょうがつ,1新年,文政句帖
96,二ツでも欲には足らずお正月,ふたつでも　よくにはたらず　おしょうがつ,1新年,文政句帖
97,正月の二日ふたつとなまけけり,しょうがつの　ふつかふたつと　なまけけり,1新年,だん袋
98,正月や店をかざれる番太良,しょうがつの　みせをかざれる　ばんたろう,1新年,文政句帖
99,正月や目につく下司の一寸戸,しょうがつや　めにつくげすの　いっすんど,1新年,文政句帖
100,正月が二日有ても皺手哉,しょうがつが　ふつかありても　しわてかな,1新年,遺稿
101,正月や現金酒の通ひ帳,しょうがつや　げんきんさけの　かよいちょう,1新年,浅黄空
102,猫塚(に)正月させるごまめ哉,ねこづかに　しょうがつさせる　ごまめかな,1新年,浅黄空
103,花じやぞよ我もけさから卅九,はなじゃぞよ　われもけさから　さんじゅうく,1新年,浅黄空
104,花じやもの我もけさから卅九,はなじゃもの　われもけさから　さんじゅうく,1新年,真蹟
105,花じやもの我もけさから廿九,はなじゃもの　われもけさから　にじゅうく,1新年,七番日記
106,老が身の直ぶみをさるゝけさの春,おいがみの　ねぶみをさるる　けさのはる,1新年,七番日記
107,今朝の春四十九ぢやもの是も花,けさのはる　しじゅうくじゃもの　これもはな,1新年,七番日記
108,けさ程やちさい霞も春ぢやとて,けさほどや　ちさいかすみも　はるじゃとて,1新年,七番日記
109,口べたの東烏もけさの春,くちべたの　ひがしがらすも　けさのはる,1新年,七番日記
110,みどり子や御箸いたゞくけさの春,みどりこや　おはしいただく　けさのはる,1新年,七番日記
111,骨つぽい柴のけぶるをけさの春,こつつぽい　しばのけぶるを　けさのはる,1新年,七番日記
112,骨つぽい柴のけぶりをけさの花,こつつぽい　しばのけぶりを　けさのはな,1新年,七番日記
113,影ぼしもまめ息才でけさの春,かげぼしも　　まめそくさいで　けさのはる,1新年,七番日記
114,影法師とまめ息才でけさの春,かげぼしと　　まめそくさいで　けさのはる,1新年,俳諧寺抄録
115,這へ笑へ二ツになるぞけさからは,はえわらえ　ふたつになるぞ　けさからは,1新年,七番日記
116,這へ笑へ二つになるぞけふからは,はえわらえ　ふたつになるぞ　きょうからは,1新年,発句鈔追加
117,鶯のいな鳴やうも今朝の春,うぐいすの　いななきようも　けさのはる,1新年,八番日記
118,弥陀仏をたのみに明て今朝の春,みだぶつを　たのみにあけて　けさのはる,1新年,真蹟
119,けさの春別な村でもなかりけり,けさのはる　べつなむらでも　なかりけり,1新年,八番日記
120,先以別条はなしけさの春,まずもって　べつじょうはなし　けさのはる,1新年,文政句帖
121,小便もうかとはならずけさの春,しょうべんも　うかとはならず　けさのはる,1新年,文政句帖
122,散る雪も行義正しやけさの春,ちるゆきも　ぎょうぎただしや　けさのはる,1新年,文政句帖
123,散雪の行義正しやけさの春,ちるゆきの　ぎょうぎただしや　けさのはる,1新年,文政句帖
124,散雪も行義正しや明けの春,ちりゆきも　ぎょうぎただしや　あけのはる,1新年,文政句帖
125,行灯のかたつぴらよりけさの春,あんどんの　かたつぴらより　けさのはる,1新年,発句鈔追加
126,草の戸やいづち支舞の今朝の春,くさのとや　いづちじまいの　けさのはる,1新年,発句鈔追加
127,けさ春と掃まねしたりひとり坊,けさはると　はくまねしたり　ひとりぼう,1新年,発句鈔追加
128,ふしぎ也生れた家でけさの春,ふしぎなり　うまれたいえで　けさのはる,1新年,浅黄空
129,乞食も護摩酢酌むらん今日(の)春,こつじきも　ごまずくむらん　きょうのはる,1新年,西国紀行
130,あばら家や其身其まゝ明の春,あばらやや　そのみそのまま　あけのはる,1新年,八番日記
131,あばら家の其身其まゝ明の春,あばらやの　そのみそのまま　あけのはる,1新年,嘉永版
132,屋根～の窓や一度に明の春,やねやねの　まどやいちどに　あけのはる,1新年,八番日記
133,武士町やしんかんとして明の春,ぶしまちや　しんかんとして　あけのはる,1新年,文政句帖
134,行灯の片つぴらより明の春,あんどんの　かたつぴらより　あけのはる,1新年,文政句帖
135,行灯の片つぴらよりけさの春,あんどんの　かたつぴらより　けさのはる,1新年,発句鈔追加
136,善光寺やかけ念仏で明の春,ぜんこうじや　かけねんぶつで　あけのはる,1新年,文政句帖
137,ふしぎ也生れた家でけふの春,ふしぎなり　うまれたいえで　きょうのはる,1新年,自筆本
138,我宿もうたゝあるさまや御代の春,わがやども　うたたあるさまや　みよのはる,1新年,文化句帖
139,さかゆきに神の守らん御代の春,さかゆきに　かみのまもらん　みよのはる,1新年,文化句帖
140,日の本や金も子をうむ御代の春,ひのもとや　かねもこをうむ　みよのはる,1新年,文政句帖
141,日の本や金が子をうむ御代の春,ひのもとや　かねがこをうむ　みよのはる,1新年,自筆本
142,へら鷺も万才聞か君が春,へらさぎも　まんざいきくか　きみがはる,1新年,文化句帖
143,拙者義も異義なく候君が春,せっしゃぎも　いぎなくそうろう　きみがはる,1新年,文政句帖
144,こけるなよ土こんにやくも玉の春,こけるなよ　つちこんにゃくも　たまのはる,1新年,八番日記
145,青空にきず一ツなし玉の春,あおぞらに　きずひとつなし　たまのはる,1新年,文政句帖
146,大空にきず一ツなし玉の春,おおぞらに　きずひとつなし　たまのはる,1新年,発句集続篇
147,青空にくも一ツなし玉の春,あおぞらに　くもひとつなし　たまのはる,1新年,浅黄空
148,頭巾とる門はどれ～花の春,ずきんとる　かどはどれどれ　はなのはる,1新年,享和句帖
149,身じろぎのならぬ家さへ花の春,みじろぎの　ならぬいえさえ　はなのはる,1新年,享和句帖
150,又土になりそこなうて花の春,またつちに　なりそこなうて　はなのはる,1新年,文化句帖
151,君が世やよ所の膳にて花の春,きみがよや　よそのぜんにて　はなのはる,1新年,文化句帖
152,薮並や貧乏草も花の春,やぶなみや　びんぼうぐさも　はなのはる,1新年,文化句帖
153,朝笑いくらに買か花の春,あさわらい　いくらにかうか　はなのはる,1新年,文化五六句記
154,家なしの身に成て見る花(の)春,いえなしの　みになりてみる　はなのはる,1新年,文化五六句記
155,大江戸(や)芸なし猿も花の春,おおえどや　げいなしざるも　はなのはる,1新年,七番日記
156,下京や闇いうちから花の春,しもぎょうや　くらいうちから　はなのはる,1新年,七番日記
157,身一つも同じ世話也花の春,みひとつも　おなじせわなり　はなのはる,1新年,七番日記
158,我庵や菜の二葉より花の春,わがいおや　なのふたばより　はなのはる,1新年,七番日記
159,おのれやれ今や五十の花の春,おのれやれ　いまやごじゅうの　はなのはる,1新年,七番日記
160,五十年あるも不思儀ぞ花の春,ごじゅうねん　あるもふしぎぞ　はなのはる,1新年,七番日記
161,すりこ木のやうな歯茎も花の春,すりこぎの　ようなはぐきも　はなのはる,1新年,七番日記
162,大雪の我家なればぞ花の春,おおゆきの　わがやなればぞ　はなのはる,1新年,七番日記
163,こんな身も拾ふ神ありて花(の)春,こんなみも　ひろうかみありて　はなのはる,1新年,七番日記
164,塵の身も拾ふ神ありて花(の)春,ちりのみも　ひろうかみありて　はなのはる,1新年,自筆本
165,塵の身を拾ふ神あり花(の)春,ちりのみを　ひろうかみあり　はなのはる,1新年,真蹟
166,ちりの身のふはり～も花の春,ちりのみの　ふわりふわりも　はなのはる,1新年,句稿消息
167,ちりの身のふはり～と花の春,ちりのみの　ふわりふわりと　はなのはる,1新年,浅黄空他
168,何なくと生れた家ぞ花の春,なんなくと　うまれたいえぞ　はなのはる,1新年,七番日記
169,ちり～゛に居てもする也花の春,ちりじりに　いてもするなり　はなのはる,1新年,七番日記
170,爺が世や枯木も雪の花の春,じいがよや　かれきもゆきの　はなのはる,1新年,文政句帖
